Rank	Team	Record	Players
year:2025
Active
Avg Age
Team
Total Cap
Allocations
Cap Space
All
Active	Active
Top 3
Dead
Cap
12	 HOU	44-28 	15	26.0	$129,533,390	$-20,393,390	$121,883,222	$71,140,070	$6,204,471
13	 PHX	34-39 	15	26.4	$130,285,572	$-21,145,572	$126,329,911	$80,844,814	$785,285
14	 BOS	48-24 	15	24.4	$130,767,745	$-21,627,745	$127,473,888	$75,266,600	$3,293,857
15	 DEN	46-27 	15	25.9	$131,820,534	$-22,680,534	$126,468,408	$74,963,374	$2,110,998
16	 NOP	30-42 	15	24.5	$132,616,252	$-23,476,252	$131,561,774	$73,752,695	$1,054,478
17	 MIL	56-17 	15	27.3	$133,224,345	$-24,084,345	$126,409,299	$87,605,923	$6,815,046
18	 MEM	34-39 	15	23.9	$134,245,326	$-25,105,326	$96,358,089	$39,400,000	$34,646,109
19	 POR	35-39 	14	25.6	$135,448,164	$-26,308,164	$125,356,909	$73,869,994	$4,979,771
20	 MIA	44-29 	15	27.9	$135,572,405	$-26,432,405	$126,766,607	$73,379,100	$5,564,670
21	 LAC	49-23 	15	27.8	$137,405,301	$-28,265,301	$137,010,779	$84,713,233	$394,522
22	 LAL	52-19 	15	28.2	$138,544,305	$-29,404,305	$129,324,500	$87,961,566	$7,599,241
23	 UTA	44-28 	15	26.9	$138,998,838	$-29,858,838	$135,162,144	$79,877,413	$770,433
24	 TOR	53-19 	15	26.1	$143,726,386	$-34,586,386	$121,179,805	$82,309,200	$6,941,074
25	 PHI	43-30 	15	26.9	$147,787,869	$-38,647,869	$144,302,328	$94,460,060	$1,864,977
26	 SAS	32-39 	15	25.2	$150,150,620	$-41,010,620	$103,942,196	$56,525,975	$24,804,677
27	 MIN	19-45 	14	23.6	$159,195,461	$-50,055,461	$128,979,723	$75,117,050	$685,340
28	 WAS	25-47 	15	25.7	$160,772,292	$-51,632,292	$125,335,449	$85,110,588	$4,333,813
29	 BKN	35-37 	15	27.3	$168,550,487	$-59,410,487	$164,541,070	$115,086,720	$2,388,853
30	 GSW	15-50 	15	25.6	$175,825,052	$-66,685,052	$168,454,133	$107,909,732	$888,663
Totals	-	448	-	$3,994,987,235	$-720,787,235	$3,574,048,457	$2,100,532,773	$273,753,907
Averages	-	14.9	25.6	$133,166,241	$-24,026,241	$119,134,949	$70,017,759	$9,125,130
